Vehicle_ID,Warehouse,Region,Vehicle_Type,Capacity_Cases,Age_Years,Trips_Per_Month,KM_Per_Month,Avg_Load_Cases,Load_Utilization_Pct,Utilization_Days_PM,Idle_Days_PM,Maintenance_Cost_INR_PM,Breakdowns_PM,Fuel_Efficiency_KMPL,CO2_Emission_KG_PM,Status
VH-0219,WH-HYD-01,South India,32-ft Truck,800,1,24,2352,461,57.6,19,11,2195,1,7.8,808.1,Active
VH-0220,WH-HYD-01,South India,32-ft Truck,800,7,20,3960,675,84.4,24,6,14016,2,8.8,1206.0,In Repair
VH-0221,WH-HYD-01,South India,20-ft Truck,500,5,15,3555,315,63.0,18,12,15893,0,6.1,1561.9,Active
VH-0222,WH-HYD-01,South India,20-ft Truck,500,9,11,1749,390,78.0,18,12,29445,3,5.0,937.5,In Repair
VH-0223,WH-HYD-01,South India,20-ft Truck,500,9,13,4186,337,67.4,22,8,28622,0,8.8,1274.8,Active
VH-0224,WH-HYD-01,South India,20-ft Truck,500,8,25,3825,378,75.6,24,6,17892,3,4.6,2228.5,In Repair
VH-0225,WH-HYD-01,South India,20-ft Truck,500,3,11,1232,283,56.6,24,6,11852,0,8.1,407.6,Active
VH-0226,WH-HYD-01,South India,20-ft Truck,500,9,27,5508,289,57.8,20,10,16364,0,8.2,1800.2,Active
VH-0227,WH-HYD-01,South India,20-ft Truck,500,9,20,5340,430,86.0,19,11,35423,1,8.8,1626.3,Active
VH-0228,WH-HYD-01,South India,20-ft Truck,500,8,25,7500,390,78.0,23,7,29363,3,8.9,2258.4,In Repair
VH-0229,WH-HYD-01,South India,20-ft Truck,500,8,23,3289,276,55.2,22,8,23978,0,6.8,1296.3,Active
VH-0230,WH-HYD-01,South India,20-ft Truck,500,5,10,1170,359,71.8,22,8,12053,1,6.2,505.7,Active
VH-0231,WH-HYD-01,South India,Mini Truck (14-ft),250,4,19,3990,202,80.8,19,11,8933,1,4.9,2182.3,Active
VH-0232,WH-HYD-01,South India,Mini Truck (14-ft),250,7,15,2115,205,82.0,26,4,11173,1,6.2,914.2,Active
VH-0233,WH-HYD-01,South India,Mini Truck (14-ft),250,6,10,2330,139,55.6,28,2,16057,2,8.0,780.6,In Repair
VH-0234,WH-HYD-01,South India,Mini Truck (14-ft),250,9,23,3795,196,78.4,27,3,31326,3,5.2,1955.9,In Repair
VH-0235,WH-HYD-01,South India,Mini Truck (14-ft),250,8,24,4488,183,73.2,27,3,12784,1,9.3,1293.3,Active
VH-0236,WH-HYD-01,South India,Mini Truck (14-ft),250,4,24,7704,169,67.6,23,7,6586,0,9.2,2244.2,Active
VH-0237,WH-HYD-01,South India,Mini Truck (14-ft),250,6,17,3638,211,84.4,18,12,13493,1,8.5,1147.0,Active
VH-0238,WH-HYD-01,South India,Mini Truck (14-ft),250,9,8,1936,142,56.8,25,5,30743,3,5.6,926.5,In Repair
VH-0239,WH-HYD-01,South India,Mini Truck (14-ft),250,3,11,1837,196,78.4,18,12,11402,1,8.1,607.8,Active
VH-0240,WH-HYD-01,South India,Mini Truck (14-ft),250,2,22,2156,203,81.2,27,3,6404,0,5.1,1133.0,Active
VH-0241,WH-HYD-01,South India,Mini Truck (14-ft),250,6,17,4981,221,88.4,21,9,11054,1,7.1,1880.2,Active
VH-0242,WH-HYD-01,South India,Mini Truck (14-ft),250,9,11,3179,216,86.4,19,11,20174,3,5.9,1444.0,In Repair
VH-0243,WH-HYD-01,South India,Mini Truck (14-ft),250,7,17,5559,164,65.6,21,9,20748,2,6.2,2402.9,In Repair
VH-0244,WH-HYD-01,South India,Mini Truck (14-ft),250,1,17,2686,190,76.0,28,2,2110,1,8.0,899.8,Active
VH-0245,WH-HYD-01,South India,Mini Truck (14-ft),250,7,25,6950,226,90.4,23,7,20747,1,5.2,3581.9,Active
VH-0246,WH-HYD-01,South India,Tata Ace,120,4,14,3724,112,93.3,28,2,8360,1,6.3,1584.2,Active
VH-0247,WH-HYD-01,South India,Tata Ace,120,8,23,3105,81,67.5,26,4,22108,2,5.6,1486.0,In Repair
VH-0248,WH-HYD-01,South India,Tata Ace,120,9,24,3144,73,60.8,22,8,32460,3,6.0,1404.3,In Repair
VH-0249,WH-HYD-01,South India,Tata Ace,120,4,22,5940,91,75.8,25,5,10486,0,6.4,2487.4,Active
VH-0250,WH-HYD-01,South India,Tata Ace,120,3,11,968,108,90.0,28,2,6181,0,5.0,518.8,Active
VH-0251,WH-HYD-01,South India,Tata Ace,120,6,28,4340,83,69.2,26,4,15231,3,8.6,1352.5,In Repair
VH-0252,WH-HYD-01,South India,Tata Ace,120,4,9,1746,105,87.5,24,6,11553,1,6.5,719.9,Active
VH-0253,WH-HYD-01,South India,Tata Ace,120,5,18,5562,98,81.7,27,3,19012,0,7.1,2099.5,Active
VH-0254,WH-HYD-01,South India,Tata Ace,120,9,14,4186,108,90.0,24,6,31937,2,8.6,1304.5,In Repair
VH-0255,WH-HYD-01,South India,Tata Ace,120,9,22,6468,71,59.2,26,4,22771,3,9.3,1863.9,In Repair
VH-0256,WH-HYD-01,South India,Tata Ace,120,8,16,1504,90,75.0,24,6,29283,1,5.0,806.1,Active
VH-0257,WH-HYD-01,South India,Tata Ace,120,8,16,4112,101,84.2,20,10,21206,1,8.6,1281.4,Active
VH-0258,WH-HYD-01,South India,Tempo,80,1,12,4080,53,66.2,26,4,3782,1,5.4,2024.9,Active
VH-0259,WH-HYD-01,South India,Tempo,80,5,9,2502,57,71.2,22,8,11417,1,8.0,838.2,Active
VH-0260,WH-HYD-01,South India,Tempo,80,8,19,3192,61,76.2,27,3,27998,1,5.2,1645.1,Active
VH-0261,WH-HYD-01,South India,Tempo,80,2,27,8586,54,67.5,19,11,6336,0,6.4,3595.4,Active
VH-0262,WH-HYD-01,South India,Tempo,80,4,10,3300,65,81.2,20,10,8013,1,6.8,1300.6,Active
VH-0263,WH-HYD-01,South India,Tempo,80,7,9,3006,76,95.0,26,4,18365,0,9.2,875.7,Active
VH-0264,WH-HYD-01,South India,Tempo,80,7,24,4272,63,78.8,27,3,21973,0,6.7,1708.8,Active
VH-0265,WH-HYD-01,South India,Tempo,80,1,24,3816,54,67.5,25,5,3628,0,9.5,1076.5,Active
